ARP_Req_Count,ARP_Rep_Count,ARP_Ratio,ARP_Rate,ARP_Avg_IAT,Max_MAC_Freq,Unique_IPs,Label
115,2,0.017391304347826087,117.0,0.008469423343395364,117,118,1
100,2,0.02,102.0,0.00950530495974097,102,103,1
235,2,0.00851063829787234,237.0,0.004205750206769523,237,238,1
6,13,2.1666666666666665,19.0,0.047882662879096136,13,3,1
0,0,0.0,0.0,0.0,0,0,0
1,1,1.0,2.0,2.3126602172851562e-05,1,2,0
192,2,0.010416666666666666,194.0,0.005139647370175376,194,195,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
61,3,0.04918032786885246,64.0,0.012107716666327583,63,64,1
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04399219751358032,14,3,1
140,2,0.014285714285714285,142.0,0.006806481814553552,142,143,1
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
250,2,0.008,252.0,0.003953521470149675,252,253,1
0,0,0.0,0.0,0.0,0,0,0
217,2,0.009216589861751152,219.0,0.004497545574783185,219,220,1
0,0,0.0,0.0,0.0,0,0,0
5,2,0.4,7.0,0.12394849459330241,7,8,1
0,0,0.0,0.0,0.0,0,0,0
33,2,0.06060606060606061,35.0,0.01033935126136331,35,36,1
32,3,0.09375,35.0,0.014355203684638529,34,35,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
219,2,0.0091324200913242,221.0,0.004502631317485462,221,222,1
0,0,0.0,0.0,0.0,0,0,0
49,3,0.061224489795918366,52.0,0.010031709484025543,51,52,1
7,14,2.0,21.0,0.04339355230331421,14,3,1
242,2,0.008264462809917356,244.0,0.004082301026018559,244,245,1
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04368754625320435,14,3,1
0,2,2.0,2.0,0.0,2,2,1
8,15,1.875,23.0,0.04308585687117143,15,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04284349679946899,14,3,1
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
180,2,0.011111111111111112,182.0,0.005381187681335112,182,183,1
228,2,0.008771929824561403,230.0,0.004337803245111324,230,231,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
101,2,0.019801980198019802,103.0,0.009573959836772844,103,104,1
0,0,0.0,0.0,0.0,0,0,0
173,2,0.011560693641618497,175.0,0.005518087025346427,175,176,1
0,0,0.0,0.0,0.0,0,0,0
1,3,3.0,4.0,0.06816466649373372,3,3,1
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
6,13,2.1666666666666665,19.0,0.04710000091128879,13,3,1
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
161,2,0.012422360248447204,163.0,0.0060520922696148905,163,164,1
0,0,0.0,0.0,0.0,0,0,0
148,2,0.013513513513513514,150.0,0.006587625349928069,150,151,1
146,2,0.0136986301369863,148.0,0.006539925426041999,148,149,1
0,0,0.0,0.0,0.0,0,0,0
6,13,2.1666666666666665,19.0,0.048002945052252874,13,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04398105144500732,14,3,1
0,0,0.0,0.0,0.0,0,0,0
7,14,2.0,21.0,0.04401919841766357,14,3,1
0,0,0.0,0.0,0.0,0,0,0
73,3,0.0410958904109589,76.0,0.010601094563802083,75,76,1
0,0,0.0,0.0,0.0,0,0,0
8,16,2.0,24.0,0.04098452692446501,16,3,1
2,2,1.0,4.0,0.1616509755452474,2,2,0
0,0,0.0,0.0,0.0,0,0,0
186,2,0.010752688172043012,188.0,0.005271844047913577,188,189,1
7,15,2.142857142857143,22.0,0.04505204019092378,15,3,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
218,2,0.009174311926605505,220.0,0.004467835709384587,220,221,1
0,0,0.0,0.0,0.0,0,0,0
88,3,0.03409090909090909,91.0,0.01096589830186632,90,91,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
6,13,2.1666666666666665,19.0,0.050445490413241915,13,3,1
76,2,0.02631578947368421,78.0,0.012273153701385894,78,79,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
158,3,0.0189873417721519,161.0,0.0062014743685722355,160,160,1
7,14,2.0,21.0,0.04558829069137573,14,3,1
0,2,2.0,2.0,2.7894973754882812e-05,2,2,1
54,2,0.037037037037037035,56.0,0.01083262183449485,56,57,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,2,2.0,2.0,0.0,2,2,1
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
0,0,0.0,0.0,0.0,0,0,0
